"","HZ","low_bin","high_bin","date","chips","expert","institution","last.in.field","experience.ide","p","chips.all.experts","p.all.experts","expert.date"
"108","GOMA",26,28,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"109","GOMA",28,30,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"110","GOMA",28,30,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"111","GOMA",28,30,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"112","GOMA",30,32,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"113","GOMA",30,32,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"114","GOMA",30,32,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"115","GOMA",32,34,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"116","GOMA",32,34,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"117","GOMA",32,34,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"118","GOMA",34,36,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"119","GOMA",34,36,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"120","GOMA",34,36,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"121","GOMA",36,38,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"122","GOMA",36,38,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"123","GOMA",36,38,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"124","GOMA",38,40,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"125","GOMA",38,40,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"126","GOMA",38,40,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"127","GOMA",4,6,"25-10-2019",2,"15","LSHTM","<2 weeks ago","<5 years",0.1,3,0.05,"expert 15 25-10-2019"
"128","GOMA",4,6,"25-10-2019",1,"12","LSHTM","<2 weeks ago",">5 years",0.05,3,0.05,"expert 12 25-10-2019"
"129","GOMA",4,6,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,3,0.05,"expert 7 25-10-2019"
"130","GOMA",40,42,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"131","GOMA",40,42,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"132","GOMA",40,42,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"133","GOMA",42,44,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"134","GOMA",42,44,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"135","GOMA",42,44,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"136","GOMA",44,46,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"137","GOMA",44,46,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"138","GOMA",44,46,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"139","GOMA",46,48,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"140","GOMA",46,48,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"141","GOMA",46,48,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"142","GOMA",48,50,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"143","GOMA",48,50,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"144","GOMA",48,50,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"145","GOMA",6,8,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019"
"146","GOMA",6,8,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019"
"147","GOMA",6,8,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019"
"148","GOMA",8,10,"25-10-2019",1,"15","LSHTM","<2 weeks ago","<5 years",0.05,1,0.0166666666666667,"expert 15 25-10-2019"
"149","GOMA",8,10,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,1,0.0166666666666667,"expert 12 25-10-2019"
"150","GOMA",8,10,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,1,0.0166666666666667,"expert 7 25-10-2019"
"151","KALUNGUTA",0,2,"25-10-2019",6,"15","LSHTM","<2 weeks ago","<5 years",0.3,20,0.333333333333333,"expert 15 25-10-2019"
"152","KALUNGUTA",0,2,"25-10-2019",10,"12","LSHTM","<2 weeks ago",">5 years",0.5,20,0.333333333333333,"expert 12 25-10-2019"
"153","KALUNGUTA",0,2,"25-10-2019",4,"7","LSHTM","<2 weeks ago","<5 years",0.2,20,0.333333333333333,"expert 7 25-10-2019"
"154","KALUNGUTA",10,12,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"155","KALUNGUTA",10,12,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"156","KALUNGUTA",10,12,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"157","KALUNGUTA",12,14,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"158","KALUNGUTA",12,14,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"159","KALUNGUTA",12,14,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"160","KALUNGUTA",14,16,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"161","KALUNGUTA",14,16,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"162","KALUNGUTA",14,16,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"163","KALUNGUTA",16,18,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"164","KALUNGUTA",16,18,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"165","KALUNGUTA",16,18,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"166","KALUNGUTA",18,20,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"167","KALUNGUTA",18,20,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"168","KALUNGUTA",18,20,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"169","KALUNGUTA",2,4,"25-10-2019",8,"12","LSHTM","<2 weeks ago",">5 years",0.4,19,0.316666666666667,"expert 12 25-10-2019"
"170","KALUNGUTA",2,4,"25-10-2019",6,"15","LSHTM","<2 weeks ago","<5 years",0.3,19,0.316666666666667,"expert 15 25-10-2019"
"171","KALUNGUTA",2,4,"25-10-2019",5,"7","LSHTM","<2 weeks ago","<5 years",0.25,19,0.316666666666667,"expert 7 25-10-2019"
"172","KALUNGUTA",20,22,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"173","KALUNGUTA",20,22,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"174","KALUNGUTA",20,22,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"175","KALUNGUTA",22,24,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"176","KALUNGUTA",22,24,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"177","KALUNGUTA",22,24,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"178","KALUNGUTA",24,26,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"179","KALUNGUTA",24,26,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"180","KALUNGUTA",24,26,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"181","KALUNGUTA",26,28,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"182","KALUNGUTA",26,28,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"183","KALUNGUTA",26,28,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"184","KALUNGUTA",28,30,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"185","KALUNGUTA",28,30,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"186","KALUNGUTA",28,30,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"187","KALUNGUTA",30,32,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"188","KALUNGUTA",30,32,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"189","KALUNGUTA",30,32,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"190","KALUNGUTA",32,34,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"191","KALUNGUTA",32,34,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"192","KALUNGUTA",32,34,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"193","KALUNGUTA",34,36,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"194","KALUNGUTA",34,36,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"195","KALUNGUTA",34,36,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"196","KALUNGUTA",36,38,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"197","KALUNGUTA",36,38,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
"198","KALUNGUTA",36,38,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"199","KALUNGUTA",38,40,"25-10-2019",0,"7","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 7 25-10-2019"
"200","KALUNGUTA",38,40,"25-10-2019",0,"12","LSHTM","<2 weeks ago",">5 years",0,0,0,"expert 12 25-10-2019"
"201","KALUNGUTA",38,40,"25-10-2019",0,"15","LSHTM","<2 weeks ago","<5 years",0,0,0,"expert 15 25-10-2019"
